word,definition
mlem,A mlem is when a doggo is licking their chops or their tongue is hanging all-the-way out of their mouths – also when they give you a big ol’ kiss. Mlem!
noods,"
Short for noodles. Some dogs just gotta have their noods"
nuggs,"A doggo’s favorite way to eat chicken is in nugget form, so keep an eye on your doggo unless you want them to eat all of your heckin’ nuggers, man."
nuggers,"A doggo’s favorite way to eat chicken is in nugget form, so keep an eye on your doggo unless you want them to eat all of your heckin’ nuggers, man."
pats,"To get pet by a frenly hooman. Not only does this make doggo happy, but it makes hooman happy too. "
pupper,A small doggo or a puppy. 
pupperino,A small doggo or a puppy. 
sleppy,"When a pooped doggo is ready for snoozes, they are most certainly sleppy. Usually occurs after eating or zoomies."
smol,Smol is an affectionate way of saying that a pupper is tiny and cute – so small and adorable that you just want to pick them up squeeze and squeeze ‘em.
snacc,Alternative spelling of snack. Also called a snacco or treato. Doggos love them – a lot.
snoot,A doggo’s nose or snout. Doggos like to boop with and be booped on their snoot. 
sploot,A sploot is the pose a doggo makes when they lay on their belly with their hind legs stretched out backwards and flat. Corgi’s are notorious for their sploots.
teefs,Teeth. Sometimes a dog’s lip will get stuck on their teefs.
tippy taps,A little dance a dog will do when they are filled with excited anticipation or filled with happiness when they see their favorite hooman.
toe beans,"The adorably squishy toe pads on a doggo’s paws. Yeah, they really do look like beans, huh?"
walkies,Another word for a walk. 
woofer,"Large doggos, also known as big ol’ doggos. The glorious Great Dane is a prime example of a woofer"
yapper,"A small dog like a Chihuahua or Pomeranian – because little dogs tend to bark sharply, shrilly or snappishly. Bless their heckin’ little hearts."
zoomies,Zoomies are periods of frenzied running by a doggo. The technical name for this is Frenetic Random Activity Periods or FRAPs. When your dog goes from calm to suddenly running around like a wild animal – that’s the zoomies.
good ,good 
sploot,when a dog sits with its hind legs outward like they are doing a split 
pawsome,a dog related spin on awesome 
fur baby,a term used to refer to pets 
snuggle bug,a dog or cat that loves to snuggle
puppets up,Playfully referencing a dog’s excited or alert posture.
gis'it ,A playful way to say 'give it'
big ol',Used to describe a large dog or an exaggerated characteristic.
cade,an alternative spelling of cat
cate,an alternative spelling of cat
catto,an alternative spelling of cat
feck,an alternative spelling of fuck
feckers,an alternative spelling of fuckers
mofeckers,an alternative spelling of motherfuckers
pitty,a cutesy way of saying pitbull
pittie,a cutesy way of saying pitbull
pibble,a cutesy way of saying pitbull
shibe,an abbreviated way of saying shiba inu
shmoob,a fun way to refer to the samoyed breed
fluffernutter,"a very fluffy dog, resembling marshmellow fluff"
woofer,a large dog that makes deep sounding barks
boofer,a large dog that makes deep sounding barks
aquadoggo,a fun way to refer to a seal
wuffy,a cutesy way to refer to a wolf
frigg,a cutesy way to say frick
pupset,"a dog being sad, angry, or worried"
pupgrade,"a reference to an 'upgrade', can refer to a new toy/possesion or to reaching a certain age"
slurpe,a cutesy way to spell slurp
boop the snoot,touching a dogs nose
floofy,This is the adjective version of floof or floofer. It’s how you describe a fluffy pup
goob,This word is another result of a switched letter. This word means good.
corgo,a fun way to say corgi
puparazzi,"a play on the words paparazzi, refering to taking photos of a pet "
furchild,"an endearing way to refer to a furry pet, usualy in reference to a dog or cat"
furbaby,"an endearing way to refer to a furry pet, usualy in reference to a dog or cat"
purrrfect,"a play on the word perfect, referring to how cats will purr"
petddit,"a reference to ""pet reddit"", reddit forums where users discuss pet related content"
protec,"a fun way to spell protect, ex he protec, he attac"
attac,"a playful way to spell attack, ex he protec, he attac"
puglife,a reference to the ownership of a pug
puggles,an endearing way to refer to a pug
luv,a fun way to spell love
petcation,"a vacation with one's pets, or a pet enjoying a vacation"
wuffy,Onomatopoeia referring to a dog's bark
wuuf,Onomatopoeia referring to a dog's bark
petiquette,"a play on the word etiquette, referring to well behaved pets or to what proper pet owner ettiquete is "
